county,x,y
Antrim,234.0,323.0
Armagh,190.0 202.0
Carlow,155.0,-142.0
Cavan,89.0,126.0
Clare,-144.0,-111.0
Cork,-110.0,-294.0
Derry,151.0,330.0
Donegal,4.0,323.0
Down,246.0,209.0
Dublin,223,-3
Fermanagh,46.0,203.0
Galway,-80.0,13.0
Kerry,-210.0,-283.0
Kildare,155.0,-40.0
Kilkenny,103.0,-181.0
Laois,78.0,-85.0
Leitrim,17.0,131.0
Limerick,-113.0,-191.0
Longford ,27.0,69.0
Louth,192.0,104.0
Mayo,-159.0,113.0
Meath,163.0,56.0
Monaghan,129.0,168.0
Offaly,28.0,-32.0
Roscommon,-40.0,90.0
Sligo,-79.0,162.0
Tipperary,5.0,-169.0
Tyrone,98.0,263.0
Waterford,31.0,-265.0
Westmeath,61.0,28.0
Wexford,183.0,-194.0
Wicklow,211.0,-79.0
